No,English,Japanese
179,frequent,頻繁な，しばしば起こる(形容詞)
180,theory,理論，学説(名詞)
181,gravity,重力，引力(名詞)
182,translate,を翻訳する，通訳する(動詞)
183,equipment,装置，設備(名詞)
184,rare,まれな，珍しい(形容詞)
185,decide,決心する，決定する(動詞)
186,bank account,銀行口座，貯金口座(熟語)
187,amount,量，額(名詞)
188,constant,絶え間ない，一定の(形容詞)
189,efficient,効率のいい，効率的な(形容詞)
190,available,利用できる，使用可能な(形容詞)
191,particular,特定の，明確な(形容詞)
192,locate,見つける，位置を突きとめる(動詞)
193,recommendation,推薦，推奨(名詞)
194,apply to,に適用する，に応用する(熟語)
195,politely,丁寧に，礼儀正しく(副詞)
196,accidentally,誤って，知らずに(副詞)
197,satisfy,を満足させる，を喜ばせる(動詞)
198,appointment,予定，約束(名詞)
199,chemical,化学物質/化学の(名詞)
200,attach,を貼り付ける，を貼る(動詞)
201,permit,を許可する，を認める(動詞)
202,prevent,を妨げる，予防する(動詞)
203,increase,を増やす，増大させる(動詞)
204,luxury,贅沢な/贅沢(名詞)
205,decade,10年間(名詞)
206,enormous,非常に大きい，極端に大きい(形容詞)
207,replacement,置換，代替(名詞)
208,in touch,連絡中，連絡が取れて(熟語)
209,confuse,を混乱させる，区別がつかない(動詞)
210,produce,を生産する，産出する(動詞)
211,economy,経済，節約(名詞)
212,celebrate,祝う，祝福する(動詞)
213,cope with,に対処する，に対応する(熟語)
214,imitate,模倣する，真似る(動詞)
215,assignment,割り当て，配分(名詞)
216,certainly,確かに，間違いなく(副詞)
217,behave,振る舞う，立ち振舞う(動詞)
218,instrument,楽器，音楽器具(名詞)
219,temporary,一時的な，短期的な(形容詞)
220,capable of,ができる，可能で(熟語)
221,arrange,整える，を配置する(動詞)
222,occasion,特定の時，行事，祭典(名詞)
223,take after,をまねる，に似る(熟語)
224,guilty of,罪を犯して，違法行為をして(熟語)
225,work out,練習する，運動する(熟語)
226,promote,を促進する，を推進する(動詞)
227,electricity,電力，電気(名詞)
228,composer,作曲，楽曲制作(名詞)
229,creature,生き物，生物(名詞)
230,substance,物質，実態(名詞)
231,graduate,を卒業する，を修了する(動詞)
232,furniture,家具，調度品(名詞)
233,medicine,薬，医薬品(名詞)
234,at last,ついに，やっと(熟語)
235,attitude,態度，姿勢(名詞)
236,borrow,を借りる，を借用する(動詞)
237,sufficient,十分な，足りている(形容詞)
238,hear from,から便りがある，連絡をもらう(熟語)
239,directly,直接，直接的に(副詞)
240,historic,由緒のある，歴史に残る(形容詞)
241,barely,かろうじて，やっと(副詞)
242,delete,を削除する，消す(動詞)
243,urgent,緊急の，急を要する(形容詞)
244,generous,気前のよい，寛容な(形容詞)
245,cruel,残酷な，ひどい(形容詞)
246,celebration,お祝い，祝典(名詞)
247,reflection,反響，反射(名詞)
248,concept,概念，観念(名詞)
249,whisper,ささやく，を耳打ちする(動詞)
250,deposit,お金を預ける，を預金する(動詞)
251,apology,謝罪，お詫び(名詞)
252,deceive,を欺く，をだます(動詞)
253,establish,を設立する，創設する(動詞)
254,endure,を我慢する，耐える(動詞)
255,disposal,処理，処分(動詞)
256,statistics,統計，数字(名詞)
257,compromise,妥協，和解(名詞)
258,terminal,終りの，末端の(形容詞)
259,formation,形成，構成(名詞)
260,envelope,封筒，封書(名詞)
261,quarrel,喧嘩，口論，言い争い(名詞)
262,handle,を手で扱う，に対処する/取っ手(動詞)
263,condition,状態，条件，情勢(名詞)
264,punish,を罰する，懲らしめる(動詞)
265,from time to time,時々，偶に(熟語)
266,in demand,需要のある，求められる(熟語)
267,stand out,目立つ，すぐれている(熟語)
268,in the meantime,とりあえず，それまでは(熟語)
269,to some extent,いくらか，ある程度(熟語)
270,at any cost,どんな犠牲を払っても，何がなんでも(熟語)
271,on the contrary,その反対で，それどころか(接続詞)
272,lose face,面子を失う，恥をかく(熟語)
273,answer for,責任を負う，引き受ける(熟語)
274,insist on,するように強く求める，強調する(熟語)
275,despite,にも関わらず，けれども(接続詞)
276,worth,の価値がある，（～するに）値する(形容詞)
277,not always,必ずしもではない，いつもとは限らない(熟語)
278,spread,を広げる，広がる(動詞)
279,at that time,あの時は，そのとき(熟語)
280,in common,共通して，一般的に(熟語)
281,be affected by,の影響を受ける，影響される(熟語)
282,luckily,幸いなことに，幸運にも(副詞)
283,not yet,まだ，今のところ(熟語)
284,in response,に応じて，に対応して(熟語)
285,have effects on,に影響を与える，に作用する(熟語)
286,taste,味，風味/な味がする(名詞)
287,in advance,前もって，事前に(熟語)
288,confident,自信のある，確信している(形容詞)
289,one day,ある日，いつか(熟語)
290,five senses,五感，感覚器官(熟語)
291,sight,見ること，視力(名詞)
292,electric,電気の，電力の(形容詞)
293,receive,を受理する，受け取る(動詞)
294,ankle,足首，くるぶし(名詞)
295,related to,に関連する，に関わる(熟語)
296,fear,を恐れる，恐がる/恐れ(名詞)
297,active,活動的な，活気のある(形容詞)
298,lesser,より少ない，いっそう少ない(形容詞)
299,degree,程度，度(名詞)
300,effect,効果，影響，結果(名詞)
301,cause,原因/の原因となる(動詞)
302,particularly,特に，とりわけ(副詞)
303,suffer,を患う，苦しむ(動詞)
304,immune,免疫の，免疫のある(形容詞)
305,disorder,无秩序，混乱(名詞)
306,mental,精神の，心の(形容詞)
307,physical,身体の，肉体の(形容詞)
308,intend to,するつもりである，する意図がある(熟語)
309,at present,現在は，今は(熟語)
310,make a difference,違いを生む，差をつける(熟語)
311,opportunity,機会，好機(名詞)
312,on purpose,故意に，わざと(熟語)
313,exceptionally,例外的に，非常に(副詞)
314,almost,ほとんど，たいてい(副詞)
315,characteristic,特有の，独特の(形容詞)
316,similar to,に似ている，類似している(熟語)
317,as to,に関して，について(接続詞)
318,civilization,文明，文明社会(名詞)
319,represent,を表す，を代表する(動詞)
320,collapse,崩壊する，つぶれる(動詞)
321,insult,を侮辱する，を罵る(動詞)
322,mixture,混合物，複合体(名詞)
323,isolated,孤立した，隔離された(形容詞)
324,punctual,規則正しい，時間通りの(形容詞)
325,responsible,責任がある，責任が伴う(形容詞)
326,frightened,恐ろしかった，怖かった(形容詞)
327,guarantee,を保証する/保証(動詞)
328,blame,を非難する，批判する(動詞)
329,anniversary,～周年，記念日(名詞)
330,violate,違反する，破る(動詞)
331,delay,を遅らせる，先延ばしにする(動詞)
332,surround,を取り囲む，を包囲する(動詞)
333,immigrate,移住する，移転する(動詞)
334,correct,正確な/を訂正する(形容詞)
335,landscape,風景，眺め(名詞)
336,instinct,直感，本能，勘(名詞)
337,policy,政策，方針(名詞)
338,obviously,明らかに，明白に(副詞)
339,strangely,不思議なことに，奇妙に(副詞)
340,chase,を追跡する，追いかける/追跡(動詞)
341,pour,を注ぐ，激しく降る(動詞)
342,at one time,一度に，同時に(熟語)
343,all the way,はるばる，わざわざ(熟語)
344,show up,现れる，出現する(熟語)
345,pull away,引き離す，引き剥がす(熟語)
346,try out,を試す，十分に試してみる(熟語)
347,break into,に押し入る，侵入する(熟語)
348,call it a day,終了する，仕事を切り上げる(熟語)
349,be awake,目を覚ましている，覚醒している(熟語)
350,issue,問題，（雑誌などの）号(名詞)
351,elderly,年配の，高齢の(形容詞)
352,brightness,輝度，明るさ(名詞)
353,have an effect on,に影響を及ぼす，影響する(熟語)
354,indoor,室内/屋内の(形容詞)
355,senior,ポストが上の/年上の人(形容詞)
356,natural,当然の，自然の(形容詞)
357,be adjusted to,に調整する，調節する(熟語)
358,specific,具体的な，特定の(形容詞)
359,heart rate,心拍数，脈拍(名詞)
360,be beneficial to,に有益である，役立つ(熟語)
361,what is called,いわゆる，通称(熟語)
362,symmetry,对称，左右対称(名詞)
363,each other,お互い，それぞれ(熟語)
364,advantage,有利，利点(名詞)
365,knee,膝(名詞)
366,check for,を調べる，確認する(熟語)
367,after all,結局，最終的に(熟語)
368,over time,超過勤務，延長時間(熟語)
369,What is more,さらに，その上(接続詞)
370,for some time,しばらくの間，一時的に(熟語)
371,at a time,１度に，同時に(熟語)
372,parking lot,駐車場，停車場(名詞)
373,all around the world,世界中の，全世界の(熟語)
374,copyright,著作権，版権(名詞)
375,charge,非難，料金，管理/に請求する(名詞)
376,director,監督，指導者，役員(名詞)
377,in reality,実際に，現実に(熟語)
378,actually,実際に，現実に(副詞)
379,compose,を構成する，作曲する(動詞)
380,greet,を出迎える，に挨拶する(動詞)
381,depend on,に頼る，依存する(熟語)
382,claim to do,することを主張する(熟語)
383,agree with,に賛成である，支持する(熟語)
384,it is common to hear,を聞くのが一般的です，よく聞かれる(熟語)
385,temple,お寺，寺院(名詞)
386,heritage,遺産，相続財産(名詞)
387,abroad,外国で，外国へ(副詞)
388,population,人口，国民(名詞)
389,bring,持って来る，連れてくる(動詞)
390,environmental,環境の，自然環境の(形容詞)
391,throw away,廃棄する，を捨てる(熟語)
392,garbage,生ゴミ，くず(名詞)
393,come up with,を思いつく，を考え出す(熟語)
394,environmentally,環境的に，情勢的に(副詞)
395,council,議会，会議(名詞)
396,carry out,を成し遂げる，実行する(熟語)
397,fuel,燃料，燃えやすいもの(名詞)
398,process,過程，手順/を加工処理する(名詞)
399,up to,～まで，～に至る(熟語)
400,turn into,に変わる，に転ずる(熟語)
401,cut down on,を切り詰める，節約する(熟語)
402,fossil fuel,化石燃料(名詞)
403,ban,を禁止する/禁止(動詞)
404,plastic bag,ビニール袋，プラスチック袋(名詞)
405,harm,害，危害/を害する(名詞)
406,unbelievable,信じられない，信じがたい(形容詞)
407,innocent,罪のない，無罪の(形容詞)
408,arrogant,傲慢な，横柄な(形容詞)
409,harbor,港，港湾(名詞)
410,temper,気性，かんしゃく(名詞)
411,legend,伝説，言い伝え(名詞)
412,fairly,かなり，公平に(副詞)
413,vague,漠然とした，あいまいな(形容詞)
414,harvest,収穫/を収穫する(動詞)
415,assistance,支援，手伝い(名詞)
416,conflict,对立，争い(名詞)
417,planet,惑星，天体(名詞)
418,ruin,を台無しにする，破滅する/破滅(動詞)
419,launch,発売する，船をおろす(動詞)
420,withdraw,を撤回する，引き下がる/引き出す(動詞)
421,refuse,を拒否する，拒む(動詞)
422,embrace,を抱きしめる，擁する(動詞)
423,overtake,追い越す，追いつく(動詞)
424,restrict,を制限する，を限定する(動詞)
425,instruction,指示，指導(名詞)
426,stock,株，在庫/を在庫に持つ(名詞)
427,competitor,競合他社，競争相手(名詞)
428,spectator,観客，見物人(名詞)
429,explorer,冒険者，探検家(名詞)
430,be filled with,で満たされている，充実している(熟語)
431,due to,が原因で，によって(熟語)
432,remind of,を思い出させる，気づかせる(熟語)
433,concentrate on,に集中する，専念する(熟語)
434,laugh at,を見て笑う，楽しむ(熟語)
435,well off,裕福な，富裕な(形容詞)
436,straight on,まっすぐに，直線的に(熟語)
437,far off,はるかかなたの，遠くの(熟語)
438,equal,同等，等しい(形容詞)
439,drop off,落ちる，落とす(熟語)
440,leave out,除外する，取り除く(熟語)
441,the other,もう一方の，反対側の(形容詞)
442,solve,を解決する，解消する(動詞)
443,be concerned with,に関係している，関連している(熟語)
444,childhood,子供時代，幼少期(名詞)
445,sustainable,存続可能な，持続可能な(形容詞)
446,leftover,残り物，食べ残し(名詞)
447,at most,多くとも，せいぜい(熟語)
448,because of,～が理由で，目的のために(熟語)
449,hundreds of,何百もの(熟語)
450,efficiency,効率，能率(名詞)
451,arrangement,配置，配列(名詞)
452,treat,を扱う，待遇する(動詞)
453,muscle,筋肉，筋力(名詞)
454,aspect,局面，側面，表情(名詞)
455,content,中身，内容，目次(名詞)
456,prescription,処方，処方箋(名詞)
457,anxious,心配した，不安な(形容詞)
458,ancient,古代の，大昔の(形容詞)
459,generously,惜しみなく，気前よく(副詞)
460,literature,文学，文芸(名詞)
461,do well,うまくやる，成功する(熟語)
462,deadline,締め切り，期限(名詞)
463,exception,例外，特例(名詞)
464,temporarily,一時的に，仮に(副詞)
465,provide A with B,AにBを提供する，AがBを供給する(熟語)
466,fund,基金，資金(名詞)
467,in the long run,長い目で見れば，長期間に(熟語)
468,accomplish,を成し遂げる，完成する(動詞)
469,introduce,紹介する，引き合わす(動詞)
470,overlap,重ねる，積む(動詞)
471,identify,を見分ける，識別する(動詞)
472,collaboration,共同，共作，協力(名詞)
473,detective,探偵，刑事，捜査官(名詞)
474,democracy,民主主義，民主制度(名詞)
475,modify,を変更する，を修正する(動詞)
476,stir,をかき混ぜる，混ぜる(動詞)
477,roll,転がる，転ぶ(動詞)
478,orbit,軌道，軌跡(名詞)
479,frequently,頻繁に，たびたび(副詞)
480,emotionally,感情的に，情緒的に(副詞)
481,evaluate,評価する，見積もる(動詞)
482,defend,を守る，保護する(動詞)
483,district,地域，地区(名詞)
484,purpose,目的，目標(名詞)
485,prayer,祈り，礼拝(名詞)
486,prospect,見込み，眺め(名詞)
487,victim,犠牲者，被害者(名詞)
488,distant,遠く離れた，遠隔の(形容詞)
489,various,様々な，多様な(形容詞)
490,visible,目に見える，可視的(形容詞)
491,wrap,を包む，巻きつける(動詞)
492,dig,を掘る，採掘する(動詞)
493,drop by,ちょっと立ち寄る，立ち寄る(熟語)
494,take over,を引き継ぐ，継承(熟語)
495,angle,角度，角(名詞)
496,payment,支払い，支出(名詞)
497,look into,を調べる/調査(熟語)
498,in practice,実際には，実際(熟語)
499,on schedule,予定通りに，計画通りに(熟語)
500,once,かつて，1度(副詞)
501,in fact,実際には，実際(熟語)
502,publisher,出版社，出版会社(名詞)
503,look forward to,～を楽しみにする，期待する(熟語)
504,dizzy,めまいがする，ふらふらする(形容詞)
505,as though,まるで，あたかも(接続詞)
506,be pleased with,を喜ぶ，喜びを感じる(熟語)
507,postpone,を延期する，を先送りする(動詞)
508,justify,正当に化する，合理化する(動詞)
509,fulfill,満たす，充足する(動詞)
510,influence,影響，影響力，波及/影響を及ぼす(名詞)
511,capacity,容量，容積(名詞)
512,continent,大陸，陸地(名詞)
513,industry,産業，工業(名詞)
514,surface,表面，水面(名詞)
515,doubtfully,疑わしく，怪しい(副詞)
516,permanently,恒久的に，永遠に(副詞)
517,sensitive,敏感な，感じやすい(形容詞)
518,peaceful,平和な，安らかな(形容詞)
519,medical,医学の，医療の(形容詞)
520,critics,評論家，批評家(名詞)
521,explorers,探検家，冒険家(名詞)
522,obstacle,障害，妨害(名詞)
523,admit,を認める，入ることを許す(動詞)
524,react,反応する，返答する(動詞)
525,succeed,成功する，達成する(動詞)
526,disappear,消える，見えなくなる(動詞)
527,take A for granted,Aを当然のことと思う(熟語)
528,be familiar with,に馴染みがある(熟語)
529,beyond,～を越えたところに，～を超えた場所に(前置詞)
530,run away,逃げ去る，逃亡する(熟語)
531,pass out,気絶する，失神する(熟語)
532,think over,熟考する，よく考える(熟語)
533,put away,片付ける，整理する(熟語)
534,believe in,を信じる，を信用する(熟語)
535,calm down,落ち着く，安心する(熟語)
536,what is worse,さらに悪いことには，更に悪化して(熟語)
537,observe,を観察する，を監視する(動詞)
538,participant,参加者，出席者(名詞)
539,react to,に反応する，受け止める(熟語)
540,at first,最初は，初めに(熟語)
541,tight,狭い，締まった(形容詞)
542,be known for,で知られている，有名である(熟語)
543,social,社会の，共同体の(形容詞)
544,jealously,嫉妬深く，妬み深く(副詞)
545,reliable,信頼性のある，あてになる(形容詞)
546,stable,安定した，安泰な(形容詞)
547,transport,を輸送する，を運搬する(動詞)
548,in other words,言い換えれば，つまり(熟語)
549,associated with,と関連した，紐づいた(熟語)
550,to start with,まず第一に，初めに(熟語)
551,first of all,まず第一に，まず以て(熟語)
552,congratulations on,に対するお祝い，祝福(熟語)
553,precious,貴重な，大切な(形容詞)
554,specialize in,に特化する，専門とする(熟語)
555,vaccine,ワクチン，予防接種(名詞)
556,nevertheless,にも関わらず，けれども(接続詞)
557,illness,病気，疾患(名詞)
558,for free,無料で，無償で(熟語)
559,checkup,健康診断，照合(名詞)
560,temperature,温度，気温(名詞)
561,health insurance,健康保険(名詞)
562,memory loss,記憶喪失，記憶消失(名詞)
563,inconvenience,不便，不自由(名詞)
564,unusually,異常に，めったにないほど(副詞)
565,take part in,に参加する，参与する(熟語)
566,determine,を決める，を定める(動詞)
567,be considered to,と見なされる，と認識される(熟語)
568,amount to,成る，達する(熟語)
569,in some way,何らかの方法で(熟語)
570,be connected to,に接続する，をつなぐ(熟語)
571,be involved in,に関与する，に介入する(熟語)
572,genetically,遺伝的に，生まれながら(副詞)
573,diet,食事，食事療法(名詞)
574,be made from,から作られる，を原料とする(熟語)
575,major,専攻科目，主要科目(名詞)
576,sign,標識，印，合図(名詞)
577,be threatened to,に脅かされる，に恐れられる(熟語)
578,progress,進歩，前進(名詞)
579,with luck,運が良ければ，うまくいけば(熟語)
580,offensive,攻撃的な，無礼な(形容詞)
581,abrupt,突然の，不意の(形容詞)
582,familiar,見慣れた，よく知られた(形容詞)
583,distributor,卸売業者，問屋(名詞)
584,publicity,宣伝，周知(名詞)
585,separation,分離，区分(名詞)
586,reuse,を再利用する，再使用する(動詞)
587,strike,叩く，打つ(動詞)
588,protest,抗議する，主張する(動詞)
589,illustrate,を説明する，を例示する(動詞)
590,voluntarily,自発的に，自ら進んで(副詞)
591,consciously,意識的に，故意に(副詞)
592,approximately,約，おおよそ(副詞)
593,peacefully,平和的に，穏やかに(副詞)
594,burden,負担，重荷(名詞)
595,whistle,口笛を吹く，口笛をする(動詞)
596,voyage,航海，航行(名詞)
597,envy,妬み，羨望(名詞)
598,exaggerate,を誇張する，大げさに言う(動詞)
599,refer to,を参照する，参考にする(熟語)
600,speaking of,と言えば，に関して(熟語)
601,wait for,を待つ，を待ち受ける(熟語)
602,in trouble,困った状況にある(熟語)
603,at best,せいぜい，良くとも(副詞)
604,except for,を除いては，を別にすれば(熟語)
605,matter,問題，困ったこと(名詞)
606,in effect,効果のある，効いている(熟語)
607,in fashion,流行っている，流行している(熟語)
608,on demand,要求に応じて，要求があり次第(熟語)
609,individual,個人の，個々の(形容詞)
610,as well,同様に，その上(副詞)
611,transportation,交通，輸送(名詞)
612,in general,一般的に，普通(熟語)
613,smell,においがする，臭いがする(動詞)
614,recognize,を認識する，はっきりと知る(動詞)
615,get rid of,を取り除く，除去する(熟語)
616,treatment,扱い，処理(名詞)
617,expired,期限切れの，契約の切れた(形容詞)
618,fee,料金，手数料(名詞)
619,current,現在の，現行の(形容詞)
620,renew,を更新する，新しくする(動詞)
621,from now on,これから先も，今後も(熟語)
622,attach to,に添える，に取り付ける(熟語)
623,fill out,書き込む，記入する(熟語)
624,unexpected,意外な，突然の(形容詞)
625,economic,経済の，財政の(形容詞)
626,breath,息，呼吸(名詞)
627,carbon dioxide,二酸化炭素，CO2(名詞)
628,humidity,湿度，湿気(名詞)
629,on duty,勤務時間中で，当番の(熟語)
630,in case,万一に備えて，予防するために(熟語)
631,gradually,次第に，だんだんに(副詞)
632,ceiling,天井，屋根(名詞)
633,out of use,すたれて，使用できない(熟語)
634,sculpture,彫刻，彫像(名詞)
635,exact,ちょうど，正しい(形容詞)
636,between A and B,AとBの間，AとBの中間(熟語)
637,produce,を生産する，作り出す(動詞)
638,even though,～だけれども，～であるのに(接続詞)
639,warm,暖かい，温暖な(形容詞)
640,inside,中身，内部(副詞)
641,ill,病気で，気分の悪い(形容詞)
642,out of place,場違いで，不適切で(熟語)
643,research,研究/研究する(名詞)
644,relative,相対的な，比較上の，親戚(形容詞)
645,poison,毒，毒物(名詞)
646,completely,完全に，全く(副詞)
647,be effective at,で効果的である(熟語)
648,absorb,を吸収する，吸い取る(動詞)
649,feed,餌を与える，育てる(動詞)
650,effective,効果的な，有用な(形容詞)
651,container,容器，入れ物(名詞)
652,thanks to,のおかげで，感謝して(熟語)
653,on the run,逃げて，奔走して(熟語)
654,dedicate,に専念する，奉納する(動詞)
655,abandon,を捨て去る，放棄する(動詞)
656,amuse,楽しませる，娯楽を提供する(動詞)
657,range,範囲，幅(名詞)
658,sphere,球，球体(名詞)
659,revenge,に復讐する/復讐(名詞)
660,popularity,人気，流行(名詞)
661,suspicious,疑わしい，怪しい(形容詞)
662,delicate,繊細な，きめ細かい(形容詞)
663,welfare,福祉，幸福(名詞)
664,border,国境，境界(名詞)
665,habit,習慣，慣行(名詞)
666,interrupt,割り込む，中断する(動詞)
667,persuade,を説得する，口説き落とす(動詞)
668,examine,を検査する，調査する(動詞)
669,leisurely,のんびりした，気の長い(形容詞)
670,bravely,勇敢に，りっぱに(副詞)
